trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.7, 'e': 0.7548475200436532}",20,0,-34.98409524998869,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
164,False,"{'a': 0.7, 'e': 0.7519437838698536}",20,0,-42.76790791841042,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
165,False,"{'a': 0.7, 'e': 0.7490253847307261}",35,15,-92.90762270326644,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",1
166,False,"{'a': 0.7, 'e': 0.7460923795352925}",20,0,-23.51556309614163,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
167,False,"{'a': 0.7, 'e': 0.7431448254773942}",20,0,-98.93707402004601,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
168,False,"{'a': 0.7, 'e': 0.7401827800345768}",30,0,-86.7854500658244,"{0: 20, 1: 0, 2: 9, 3: 1, 4: 0}",0
169,False,"{'a': 0.7, 'e': 0.7372063009669685}",25,15,-35.60103600715268,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.7, 'e': 0.7342154463161549}",25,9,1.7406925245993852,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 0.7312102744040465}",25,15,0.06728096205419432,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 0.7281908438317414}",25,0,-88.79762485200575,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
173,False,"{'a': 0.7, 'e': 0.7251572134783831}",20,0,-65.87423439064011,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
174,False,"{'a': 0.7, 'e': 0.7221094425000117}",20,10,-59.50041564330348,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
175,False,"{'a': 0.7, 'e': 0.7190475903284107}",20,0,-71.12740646966324,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
176,False,"{'a': 0.7, 'e': 0.715971716669948}",20,0,-53.36795306656665,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
177,False,"{'a': 0.7, 'e': 0.7128818815044117}",25,0,-18.0086039032331,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",1
